countryname,countrycode,indicatorname,indicatorcode,attribute,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
India,534,Goods and Services Tax Revenue as a Percent of GDP,RTGS_RM_GDP,Value,4.418876171,4.414916992,4.225577831,3.621790648,3.685668468,3.416006327,3.312532187,3.227308989,3.134506941,3.231280804,3.337860584,3.293637514,3.482437849,3.541330576,3.552021265,3.756814003,3.775369167,3.545334339,3.295258045,2.680156708,2.810131311,2.849181652,3.269496918,3.411969662,
Mexico,273,General Goods and Services Tax Revenue as a Percent of GDP,RTGSG_RM_GDP,Value,3.17742157,3.017152786,2.376029253,2.109675646,2.165299892,2.346457958,2.387722254,2.568804502,2.613638163,2.729018927,2.93312335,3.078224421,3.050649881,3.306209087,3.278670549,3.372737885,3.611424923,3.586802244,3.730549097,3.371910095,3.79842639,3.691697598,3.711467028,3.45488596,3.866798639
"Gambia, The",648,General Goods and Services Tax Revenue as a Percent of GDP,RTGSG_RM_GDP,Value,4.803082943,4.921432972,5.428427219,5.195541859,,,,,,,,2.53319931,2.988025427,3.212940216,4.229335785,4.369242668,4.592339993,5.18503809,5.149133205,5.100286007,,,,,
Slovenia,961,General Goods and Services Tax Revenue as a Percent of GDP,RTGSG_RM_GDP,Value,,,,,,11.32628727,11.43175411,11.02519703,11.70683384,10.64635944,8.680785179,8.21794796,8.469128609,8.4243927,8.369833946,8.441494942,8.365429878,8.295166969,8.324176788,7.914541721,8.074806213,8.117377281,8.027822495,8.488833427,8.466801643
Panama,283,General Goods and Services Tax Revenue as a Percent of GDP,RTGSG_RM_GDP,Value,1.425890565,1.524141073,1.70229435,1.75306356,1.746921062,0.683603644,0.594066381,0.591320634,0.577815831,0.613682926,0.560895979,0.533623874,0.505459666,0.6942904,0.808118999,0.84024477,0.911052048,0.97852844,2.147891521,2.095120192,2.64947772,3.032001019,2.963043451,2.829162359,2.748344898
Bulgaria,918,General Goods and Services Tax Revenue as a Percent of GDP,RTGSG_RM_GDP,Value,3.51016593,2.673478127,2.502896786,2.263975143,7.323730946,6.792278767,7.17501545,5.703685284,7.342960835,7.525328159,8.04842186,8.169793129,7.147049427,8.451785088,9.619703293,10.0819664,10.56667137,10.00585747,10.59591484,8.747691154,8.973658562,8.382458687,9.208018303,9.496429443,9.043309212
Morocco,686,General Goods and Services Tax Revenue as a Percent of GDP,RTGSG_RM_GDP,Value,5.33057785,5.278980255,5.688871384,5.439858913,5.051502705,5.19592905,,5.305909157,5.344890594,5.156585693,,,5.693395138,6.307384014,6.635023594,6.606545925,7.090805054,9.094567299,9.78093338,8.639764786,9.518696785,9.867139816,10.18256092,9.651795387,9.613319397
Belarus,913,General Goods and Services Tax Revenue as a Percent of GDP,RTGSG_RM_GDP,Value,,,7.419184208,5.817258835,5.929860115,15.42982197,4.817784786,6.205543041,,,,5.451238155,5.21928215,15.41010857,15.06179905,14.84489059,13.86047268,13.04809284,11.92946148,10.96482277,10.65377998,9.510001183,9.192324638,9.321183205,9.639575005
Central African Rep.,626,General Goods and Services Tax Revenue as a Percent of GDP,RTGSG_RM_GDP,Value,,,,,,,,,,,,,,,2.019639492,,,,2.499778032,2.76013279,3.377712011,3.135125399,1.462540627,,
Moldova,921,General Goods and Services Tax Revenue as a Percent of GDP,RTGSG_RM_GDP,Value,,,,,,,,9.494251251,11.02924252,7.175231457,7.614720345,6.28243494,9.018942833,10.10865116,10.70124817,12.27880573,13.84311867,14.1998148,14.45800495,12.56912899,12.72343254,12.707304,12.09574032,12.11227036,11.49991035
Pakistan,564,Excise Tax Revenue as a Percent of GDP,RTGSE_RM_GDP,Value,3.162173986,2.996124029,3.080593109,2.170094967,1.818815231,1.926019669,1.982648969,1.87309289,1.904917479,1.704933167,1.457981706,1.165854692,1.059794903,0.953719378,0.771197259,0.902645648,0.866913497,0.770872831,0.785822451,0.878807366,0.904015839,0.727165699,0.698226631,0.558559477,0.550501347
Paraguay,288,General Goods and Services Tax Revenue as a Percent of GDP,RTGSG_RM_GDP,Value,,,1.210649729,3.242311478,3.970916748,4.34161377,4.044730663,4.383499146,4.323174,4.004862785,4.026359558,3.862796307,3.553627253,3.989113092,4.275074959,4.593942165,4.864053249,5.036692142,5.461266518,5.560743809,6.311414242,6.547029018,6.548263073,6.266768932,6.795214176
Pakistan,564,General Goods and Services Tax Revenue as a Percent of GDP,RTGSG_RM_GDP,Value,1.500544071,1.367971539,1.419528484,1.456849575,1.622807503,1.920729756,1.95529747,1.935961723,1.702694178,2.055521488,3.050381899,3.647734642,3.755490541,4.0692029,3.882579565,3.623706102,3.588026524,3.347025633,3.623851061,3.462198019,3.634224415,3.581660271,4.250267982,4.810314178,4.009085655
Myanmar,518,General Goods and Services Tax Revenue as a Percent of GDP,RTGSG_RM_GDP,Value,2.102131844,2.072782993,1.639166713,1.48006916,1.28856492,1.177717686,1.196873665,1.395739555,1.223013282,0.972281158,1.118879318,0.792675197,0.720650673,0.653715432,1.074167609,1.587693334,,,,,,,,,
Denmark,128,General Goods and Services Tax Revenue as a Percent of GDP,RTGSG_RM_GDP,Value,9.36774826,9.218811035,9.066608429,9.182383537,9.312024117,9.053231239,9.267767906,9.331346512,9.393819809,9.383282661,9.162534714,9.174397469,9.197937012,9.22834301,9.340270042,9.713676453,9.885971069,10.00702,9.643226624,9.734566689,9.498888016,9.578917503,9.602430344,9.505928993,9.550173759
Mauritius,684,General Goods and Services Tax Revenue as a Percent of GDP,RTGSG_RM_GDP,Value,3.099380016,3.187052011,2.976089001,2.953323841,2.994308233,2.809307098,2.870950699,3.970489502,3.861945629,5.333649635,5.552648544,5.384258747,5.758012772,6.893072128,6.99791193,7.424238205,7.331665516,7.486372948,8.218624115,8.079963684,8.341176987,8.256437302,8.640394211,8.339190483,8.172377586
Nepal,558,General Goods and Services Tax Revenue as a Percent of GDP,RTGSG_RM_GDP,Value,1.780929685,1.86900878,2.081195831,2.186630011,2.554628611,2.947401762,2.79885149,2.701729298,2.515422821,2.419472218,2.66719985,2.866244316,2.850193024,3.021753311,3.013773441,3.50936389,3.637659788,3.895032883,4.015946865,4.545734406,5.066500664,4.853703022,4.877054691,5.236237049,5.549651623
Luxembourg,137,General Goods and Services Tax Revenue as a Percent of GDP,RTGSG_RM_GDP,Value,4.924367905,4.597939491,4.833900928,5.180816174,5.122997284,5.18505621,5.187088013,5.408485889,5.579890728,5.417332649,5.298660755,5.581504345,5.556399822,5.69007206,5.956605911,6.271055222,5.729596138,6.073632717,6.225452423,6.730882645,6.546307564,6.756474495,7.146500111,7.359119892,7.407757759
Philippines,566,General Goods and Services Tax Revenue as a Percent of GDP,RTGSG_RM_GDP,Value,1.392509103,1.407714248,1.555030107,1.70320189,1.430566907,1.364632487,1.70072329,1.758197904,1.609984159,1.699958444,1.50470078,1.52332294,1.570427179,1.787119508,1.566663504,1.540575027,2.247336388,2.10408926,1.817377567,2.096847534,1.912682891,1.884319186,2.176509142,2.167239904,2.204641581
"Venezuela, Rep. Bol.",299,General Goods and Services Tax Revenue as a Percent of GDP,RTGSG_RM_GDP,Value,,,,0.608482718,2.03306222,3.323545933,3.612959623,4.443392754,5.617662907,5.036758423,4.10713768,4.192464828,4.187270164,4.824782372,6.20344162,6.416975498,6.422162056,5.640085697,4.633488178,5.883394718,5.517174244,6.213535786,6.793334961,7.514801979,7.729417324
Germany,134,General Goods and Services Tax Revenue as a Percent of GDP,RTGSG_RM_GDP,Value,5.749473572,5.814966202,5.962800026,6.32495451,6.584228516,6.317425251,6.296073437,6.261570454,6.338840961,6.642302513,6.655910015,6.373603821,6.205749512,6.19653368,6.067681789,6.089940071,6.161370754,6.779602528,6.877668858,7.235761642,6.997240543,7.037386417,7.054913998,6.995341778,6.976180077
Nicaragua,278,General Goods and Services Tax Revenue as a Percent of GDP,RTGSG_RM_GDP,Value,,2.710184097,2.957696915,3.270498276,3.352899551,3.484665871,3.57275486,4.248434067,4.939627647,5.395378113,4.521893501,4.303168297,4.491431713,4.744108677,4.955414295,5.292942047,5.708265781,5.832467079,5.476660252,5.203961849,5.545506001,5.885806561,6.151464939,6.238711834,6.325294495
"China,P.R.: Mainland",924,General Goods and Services Tax Revenue as a Percent of GDP,RTGSG_RM_GDP,Value,0.604017198,0.398712069,0.340619832,0.255036682,3.335974693,2.982669592,2.647532701,3.249296665,3.61965847,3.892548561,4.530334473,4.592257023,5.587103367,6.478984833,6.563618183,11.21174526,9.363970757,10.21678734,9.90853405,9.689134598,10.12726784,10.3487606,10.32312679,10.22199821,
Netherlands,138,General Goods and Services Tax Revenue as a Percent of GDP,RTGSG_RM_GDP,Value,6.651453018,6.627109051,6.470292568,6.187314034,6.046986103,6.078465939,6.189896107,6.14844656,6.26022625,6.4926548,6.438632011,6.819650173,6.773090363,6.859283447,6.834956169,7.068431854,6.886597633,6.990770817,6.762125015,6.491239548,6.754265785,6.471943378,6.463317871,6.518175125,
"Yemen, Republic of",474,General Goods and Services Tax Revenue as a Percent of GDP,RTGSG_RM_GDP,Value,0.038524445,,0.082525082,0.106106281,0.086177692,0.102845721,0.062022444,0.054060657,,0.043114424,,,1.597864151,1.533272147,1.657974124,1.932771683,2.41449666,2.649284124,2.115396261,2.633654594,2.390724421,2.828163385,2.610053539,,
Albania,914,General Goods and Services Tax Revenue as a Percent of GDP,RTGSG_RM_GDP,Value,,,,,,2.016554356,2.798752546,4.522232056,7.030448437,,,,7.405142784,7.293658257,7.744202137,7.920209408,8.418431282,9.070351601,9.909863472,9.621338844,9.196022987,9.163985252,8.7257967,8.03571701,8.99571991
Argentina,213,General Goods and Services Tax Revenue as a Percent of GDP,RTGSG_RM_GDP,Value,2.95359087,3.9914639,6.315458298,7.225118637,7.053118706,6.958251476,7.233451366,7.364891052,7.508003712,7.192288399,7.202262402,6.334497929,5.403658867,6.324211597,7.653197289,7.660175323,7.866878986,8.263095856,8.584119797,8.813652992,9.083017349,9.520855904,10.11008453,11.04541206,11.38521957
Grenada,328,General Goods and Services Tax Revenue as a Percent of GDP,RTGSG_RM_GDP,Value,,8.509393692,7.65599823,8.284877777,8.188513756,8.137406349,,,,2.284408808,1.900122762,1.885853529,1.755420566,1.769701123,1.627365947,1.455169082,1.735249043,1.763503551,1.832868814,1.80218637,7.17502737,7.676992893,7.081819534,6.925724506,7.18795681
Canada,156,General Goods and Services Tax Revenue as a Percent of GDP,RTGSG_RM_GDP,Value,4.974723816,4.818768024,4.936094761,5.060316563,5.099049568,4.889822006,4.954526424,4.959743023,5.09764719,5.104925156,5.017617226,4.936162472,5.007355213,4.986622334,4.895226955,4.834762573,4.688182354,4.527543068,4.098416805,4.2646842,4.338041782,4.331408978,4.449093819,4.385258675,4.408801079
Namibia,728,General Goods and Services Tax Revenue as a Percent of GDP,RTGSG_RM_GDP,Value,4.168155193,4.871656895,5.838747978,5.293806076,,,,,,,6.945997238,6.777959824,6.107154846,5.131496429,4.704325199,7.214996815,6.060228348,5.733736515,5.842180729,6.616157055,6.131738186,8.62544632,,,
Poland,964,General Goods and Services Tax Revenue as a Percent of GDP,RTGSG_RM_GDP,Value,,7.188007355,8.525979042,8.86691761,6.426760197,6.24247694,6.937148571,7.375524044,7.115803719,7.489539146,6.933977127,6.774301052,7.169231892,7.117846489,7.143487453,7.694339275,8.092683792,8.244878769,7.975749969,7.310791016,7.59255743,7.829080105,7.137235165,7.040037155,
Guatemala,258,General Goods and Services Tax Revenue as a Percent of GDP,RTGSG_RM_GDP,Value,2.390567541,2.380570889,2.879439592,3.019265413,2.818972349,3.139802456,4.017621994,4.092473984,4.079483032,4.535768032,4.69084692,4.751098633,5.30338192,5.336920738,5.504250526,5.176306725,5.43756628,5.876332283,5.460220814,4.875686646,5.097798347,5.248414516,5.298130989,5.16993618,5.090083599
Algeria,612,General Goods and Services Tax Revenue as a Percent of GDP,RTGSG_RM_GDP,Value,,,,,1.960333467,1.562002778,1.925875545,1.85983026,1.734222293,1.290777445,1.159694433,1.301128387,1.567613006,21.41372299,21.26291656,25.87794304,3.148805857,3.41798234,3.611016989,4.511926651,3.915252447,3.672020197,,,
Burkina Faso,748,Goods and Services Tax Revenue as a Percent of GDP,RTGS_RM_GDP,Value,,,,,,,,,,,,,5.824553013,6.024519444,6.937260151,6.446831226,6.39185524,6.696352959,6.505275726,7.159826756,7.15977478,7.247819424,8.2003088,8.686134338,8.258763313
Maldives,556,Goods and Services Tax Revenue as a Percent of GDP,RTGS_RM_GDP,Value,4.524747372,4.266589642,4.32101202,3.87258029,3.910577774,3.670821905,3.70334506,3.552489281,3.426141024,3.320307016,3.189872503,2.96206212,2.904178858,2.956071615,2.927478075,2.729266167,2.910553217,2.719610691,2.351747513,2.201303482,2.127241373,4.617441654,,,13.60422516
Cape Verde,624,Goods and Services Tax Revenue as a Percent of GDP,RTGS_RM_GDP,Value,,,,,,,,,,,,,,,,12.96896935,9.760812759,10.33708477,11.03091621,8.793730736,9.002527237,10.11654854,8.491547585,,
"Gambia, The",648,Goods and Services Tax Revenue as a Percent of GDP,RTGS_RM_GDP,Value,5.312106133,5.480607033,6.262500286,5.326748848,,,,,,,,2.682211161,3.147022963,3.346323252,4.526787281,4.728627682,5.306510925,6.000814915,6.127542973,6.319203854,,,,,
Singapore,576,Goods and Services Tax Revenue as a Percent of GDP,RTGS_RM_GDP,Value,4.054899216,4.105294228,4.200662136,4.364753246,5.235685825,5.177591324,4.742171288,4.502314568,4.005847931,4.509404659,4.645386219,4.508854866,3.949464798,4.839765072,4.471467972,4.26737833,3.996848822,4.500648499,4.470175266,4.510144234,4.459595203,4.36340332,4.219163418,4.160625935,4.34480238
Bangladesh,513,Goods and Services Tax Revenue as a Percent of GDP,RTGS_RM_GDP,Value,,,,,,,,,,,,2.178497076,2.260082245,2.964352846,2.462928534,2.410915852,2.432184458,2.392383575,2.577659607,2.669433594,2.809866428,3.085969687,3.128297329,3.164330959,
Burundi,618,Income Tax Revenue as a Percent of GDP,RTI_RM_GDP,Value,,3.81598711,3.714125872,4.035789013,3.000689507,3.619742632,3.693874121,3.01302433,3.285427094,3.099085569,,,,,,,,,,,4.502514362,4.164288521,4.476268291,3.458921909,
Malta,181,Goods and Services Tax Revenue as a Percent of GDP,RTGS_RM_GDP,Value,2.642229557,3.01178503,2.976228952,2.883241653,4.298897266,12.31284142,11.72394943,12.10161304,11.09821701,11.96407604,11.34739685,11.95102787,11.88870144,11.89389229,13.53033447,14.56345654,14.66671085,14.5574007,14.15688896,13.91012287,13.54010201,13.91684532,13.56883144,13.59926987,14.46014023
South Africa,199,General Goods and Services Tax Revenue as a Percent of GDP,RTGSG_RM_GDP,Value,6.50932169,5.953917503,4.717992783,6.120751858,6.206560135,6.249312878,6.068441868,6.029394627,6.07121563,6.213323116,6.124667645,6.2307868,6.143609047,6.558842182,,,,,,5.932462692,,,,,
Ghana,652,General Goods and Services Tax Revenue as a Percent of GDP,RTGSG_RM_GDP,Value,0.812184215,0.722502172,0.5597592,0.542067111,,,,,,,,0.955311537,0.945563853,3.386158466,3.75715661,3.820253849,3.807852745,4.614509106,4.573264122,4.252299786,4.101287365,4.611703873,,,
Romania,968,Goods and Services Tax Revenue as a Percent of GDP,RTGS_RM_GDP,Value,11.05316353,8.144597054,6.828145504,7.966481686,6.767133236,7.744066238,7.099340439,7.456254005,9.161686897,10.26398945,10.37436962,10.0406332,10.51293945,11.03239059,10.51202106,11.65442562,11.4964571,11.91975117,11.19991684,10.23133564,11.34919357,12.5516634,12.74998474,12.38211918,12.22798347
"Iran, I.R. of",429,General Goods and Services Tax Revenue as a Percent of GDP,RTGSG_RM_GDP,Value,0.266410142,0.23426415,0.197603121,0.170540527,0.181061357,0.181891739,,,,0.554642022,0.783345044,0.552495182,0.904120982,0.532614768,0.657831788,0.769500196,0.621332705,0.560037673,0.451449543,0.788052142,,,,,
Cambodia,522,Income Tax Revenue as a Percent of GDP,RTI_RM_GDP,Value,,,,,,,,,,,,,0.799568892,0.81153518,0.736627221,0.863483071,1.110191703,1.370597482,1.558020115,1.727193236,1.701232553,1.843032122,2.233032703,2.523919582,2.940250158
Cambodia,522,Goods and Services Tax Revenue as a Percent of GDP,RTGS_RM_GDP,Value,,,,,,,,,,,,,4.192394733,3.719603062,4.392969131,4.491389275,4.585616589,5.391097069,6.155715466,5.381468296,5.828616619,5.940682411,6.493610859,6.747590542,8.120435715
"Congo, Republic of",634,Goods and Services Tax Revenue as a Percent of GDP,RTGS_RM_GDP,Value,,,,6.209709167,4.804755688,5.160007477,4.377933502,3.394556284,6.111642361,4.072310925,4.482683659,6.956988811,6.425863743,5.298248291,3.721288681,3.001010418,2.753178596,3.208340168,2.663969994,4.117692471,3.527504206,,,,
Sierra Leone,724,Goods and Services Tax Revenue as a Percent of GDP,RTGS_RM_GDP,Value,0.900730431,1.807640076,2.570640802,3.178385019,3.026873827,2.43507123,1.748251081,2.383917093,1.306720853,0.747854471,1.005002975,1.555958152,1.515761256,1.481528759,1.416986704,1.902201891,2.423810244,1.699694514,1.414582253,3.701060772,3.725959301,3.416444302,3.379710436,3.493896723,3.432892799
Kenya,664,Goods and Services Tax Revenue as a Percent of GDP,RTGS_RM_GDP,Value,,,,5.964713097,6.057872772,6.94713974,5.944077015,6.146259785,6.015858173,6.574553013,7.343251228,7.711535931,7.920992374,7.960690022,7.592720032,8.396570206,7.562528133,7.112040997,7.23661375,6.885728836,6.825145721,6.841569901,6.15491724,5.719475269,
Croatia,960,Goods and Services Tax Revenue as a Percent of GDP,RTGS_RM_GDP,Value,,,10.80511475,13.23550034,15.38191891,15.27851677,14.81296921,16.55821419,20.28037453,18.4801712,16.53896713,15.64214706,17.56059265,17.26390076,16.85518265,16.70658875,16.57773972,16.32098389,16.13160133,15.30294704,15.91824818,15.47617054,16.44885635,16.63430786,17.20327187
Georgia,915,Goods and Services Tax Revenue as a Percent of GDP,RTGS_RM_GDP,Value,,,,,,,,6.006744862,4.878779411,6.300212383,6.088745117,6.419325829,6.561982632,7.015337467,9.033726692,11.13679028,12.17701626,14.13634968,13.56498051,13.87137985,13.32426071,13.96443462,14.13941193,13.29777241,14.07717896
Sri Lanka,524,Goods and Services Tax Revenue as a Percent of GDP,RTGS_RM_GDP,Value,9.43150425,9.125107765,9.128060341,9.578714371,9.543375969,10.40308666,9.907693863,9.538969994,8.710392952,8.951639175,9.441302299,9.386800766,9.159450531,8.369584084,9.160189629,9.292917252,8.81970787,7.996142864,6.946975708,5.633226395,6.341174126,6.230238438,6.495962143,5.844058037,5.508854389
"Korea, Republic of",542,General Goods and Services Tax Revenue as a Percent of GDP,RTGSG_RM_GDP,Value,3.522502184,3.454758406,3.687340736,3.769268513,3.567223072,3.412442207,3.489527464,3.674572945,2.994757414,3.530934334,3.654371262,3.754188061,4.148495197,4.124598026,3.946426153,3.926734686,3.943151951,3.924437523,3.967434168,4.080201626,4.093864918,4.117114067,4.261622429,4.134820461,4.240518093
Barbados,316,Goods and Services Tax Revenue as a Percent of GDP,RTGS_RM_GDP,Value,,,,,,,,,,,,,,11.36790943,12.50009537,12.58054829,11.48407173,11.99055958,11.97182083,10.89468384,12.11470985,14.73434067,13.26936054,13.45008087,
Greece,174,General Goods and Services Tax Revenue as a Percent of GDP,RTGSG_RM_GDP,Value,6.675514698,6.673562527,6.825561523,6.4095788,6.278731346,6.379441261,6.404573917,6.574917316,6.58614254,6.852213383,7.161105156,7.421448708,7.536354065,6.926581383,6.682979107,6.928257942,7.242199421,7.414426804,7.480474472,6.609158993,7.412257671,7.649652958,7.508211136,7.364085197,
Mauritius,684,Goods and Services Tax Revenue as a Percent of GDP,RTGS_RM_GDP,Value,6.012106895,6.440431118,6.746682167,6.413822174,6.550551414,6.065739155,6.118690968,7.136457443,7.390580177,8.684662819,8.799931526,8.024227142,8.551016808,9.628537178,9.590054512,10.18629837,9.892711639,10.10332012,11.2844677,12.49796391,13.00993061,13.33779335,13.97392178,13.52200317,13.33078575
Italy,136,General Goods and Services Tax Revenue as a Percent of GDP,RTGSG_RM_GDP,Value,5.375024796,5.293379307,5.212795258,5.234659672,5.980470181,5.333172798,5.225642681,5.239630222,5.69225502,5.600279808,6.251523018,6.009438992,5.972830772,5.687670231,5.628077984,5.727026463,5.996871948,5.940969944,5.744133949,5.502270222,6.081962585,6.024570942,5.961199284,5.853679657,6.025375366
Sao Tome & Principe,716,Goods and Services Tax Revenue as a Percent of GDP,RTGS_RM_GDP,Value,,,,,,,,,,,,,0.243064776,0.825089276,0.671578765,0.692772329,1.750349402,1.85077107,1.6718117,2.453213215,1.624828935,1.2441293,1.087326646,,
Belize,339,Goods and Services Tax Revenue as a Percent of GDP,RTGS_RM_GDP,Value,2.486101151,2.2599473,1.970360994,2.568654537,3.074943066,3.367044449,8.135418892,7.491542339,7.107213497,5.59668541,6.120200157,6.190611362,6.086846352,6.059983253,6.664347649,8.159680367,8.913050652,9.142215729,8.641293526,8.109617233,8.978539467,7.732280731,8.808684349,9.401714325,9.69658947
Canada,156,Income Tax Revenue as a Percent of GDP,RTI_RM_GDP,Value,17.10911369,16.86330414,15.86904049,15.49374676,15.6608839,16.23813629,16.75380325,17.71641159,17.52503967,18.17160225,17.71803474,16.35260201,15.01020432,14.77248669,15.16303635,15.40861416,15.89800358,15.9639864,15.22430515,15.0836525,14.4266634,14.43616581,14.74806881,14.67093658,14.73566723
Finland,172,General Goods and Services Tax Revenue as a Percent of GDP,RTGSG_RM_GDP,Value,8.261457443,8.245941162,7.753568649,7.584340096,7.720839024,7.733048439,7.834317207,8.256836891,8.057703972,7.986405849,7.976578712,7.697301388,7.910903931,8.238492012,8.209393501,8.363191605,8.42168045,8.150216103,8.083175659,8.383187294,8.301977158,8.795188904,9.002818108,9.288921356,9.230858803
Bulgaria,918,Goods and Services Tax Revenue as a Percent of GDP,RTGS_RM_GDP,Value,8.360106468,6.088747025,4.994091034,5.974588394,10.75258923,9.493171692,8.719111443,7.698966026,10.50481987,11.37696838,12.15575981,12.01670456,11.33257771,13.20301342,14.81594944,15.21148586,15.80255127,16.03411865,16.880373,14.49974918,14.40186596,13.76331902,14.60707378,15.02837372,14.30918789
Kiribati,826,Goods and Services Tax Revenue as a Percent of GDP,RTGS_RM_GDP,Value,,,,,,,,,,,,,,,,,,,,,0.130853832,0.639511943,,,
Spain,184,General Goods and Services Tax Revenue as a Percent of GDP,RTGSG_RM_GDP,Value,5.093738079,5.086557388,5.432069778,4.683016777,5.04607439,4.975496769,5.051047325,5.242420197,5.372392654,5.793895721,5.870224953,5.68303442,5.509589195,5.734694004,5.987037659,6.245801449,6.208569527,5.844314575,4.884430885,3.762861013,5.275092125,5.16430378,5.394621849,5.916309357,6.123150826
Cyprus,423,Goods and Services Tax Revenue as a Percent of GDP,RTGS_RM_GDP,Value,4.734347343,4.595566273,5.776246071,7.256331921,8.397719383,8.221341133,8.169212341,7.875952244,8.747341156,8.507209778,9.921881676,10.34458447,10.51984787,12.32683372,13.41567326,13.80544949,14.03196335,14.87090111,14.65144253,12.87242603,12.91356468,12.39050198,12.65667629,12.42349148,13.68992901
